Description,N,DE,P.DE,FDR,SigGenesInSet
Metabolism of xenobiotics by cytochrome P450,77,0,1,1,
Drug metabolism - cytochrome P450,71,0,1,1,
Carbon metabolism,116,0,1,1,
2-Oxocarboxylic acid metabolism,33,0,1,1,
Endocrine resistance,96,0,1,1,
Antifolate resistance,30,0,1,1,
Platinum drug resistance,74,0,1,1,
ABC transporters,45,0,1,1,
Ribosome biogenesis in eukaryotes,76,0,1,1,
Ribosome,177,0,1,1,
Nucleocytoplasmic transport,107,0,1,1,
mRNA surveillance pathway,95,0,1,1,
Basal transcription factors,43,0,1,1,
Proteasome,46,0,1,1,
Virion - Hepatitis viruses,48,0,1,1,
PPAR signaling pathway,76,0,1,1,
Base excision repair,44,0,1,1,
Nucleotide excision repair,62,0,1,1,
Fanconi anemia pathway,53,0,1,1,
ErbB signaling pathway,84,0,1,1,
Viral protein interaction with cytokine and cytokine receptor,99,0,1,1,
NF-kappa B signaling pathway,104,0,1,1,
HIF-1 signaling pathway,109,0,1,1,
FoxO signaling pathway,132,0,1,1,
Cell cycle,158,0,1,1,
Oocyte meiosis,127,0,1,1,
p53 signaling pathway,75,0,1,1,
SNARE interactions in vesicular transport,32,0,1,1,
Mitophagy - animal,102,0,1,1,
Endocytosis,249,0,1,1,
Peroxisome,83,0,1,1,
Efferocytosis,155,0,1,1,
mTOR signaling pathway,155,0,1,1,
AMPK signaling pathway,120,0,1,1,
Integrated stress response (ISR) signaling pathway,51,0,1,1,
Apoptosis,136,0,1,1,
Longevity regulating pathway,89,0,1,1,
Longevity regulating pathway - multiple species,61,0,1,1,
Ferroptosis,41,0,1,1,
Necroptosis,160,0,1,1,
Cellular senescence,155,0,1,1,
Cardiac muscle contraction,83,0,1,1,
Vascular smooth muscle contraction,134,0,1,1,
Wnt signaling pathway,177,0,1,1,
Notch signaling pathway,62,0,1,1,
TGF-beta signaling pathway,110,0,1,1,
VEGF signaling pathway,59,0,1,1,
Osteoclast differentiation,134,0,1,1,
ECM-receptor interaction,89,0,1,1,
Adherens junction,93,0,1,1,
Tight junction,171,0,1,1,
Signaling pathways regulating pluripotency of stem cells,142,0,1,1,
Antigen processing and presentation,71,0,1,1,
Neutrophil extracellular trap formation,175,0,1,1,
Toll-like receptor signaling pathway,108,0,1,1,
NOD-like receptor signaling pathway,184,0,1,1,
RIG-I-like receptor signaling pathway,72,0,1,1,
Cytosolic DNA-sensing pathway,82,0,1,1,
C-type lectin receptor signaling pathway,104,0,1,1,
Th17 cell differentiation,107,0,1,1,
T cell receptor signaling pathway,118,0,1,1,
B cell receptor signaling pathway,82,0,1,1,
TNF signaling pathway,118,0,1,1,
Intestinal immune network for IgA production,46,0,1,1,
Long-term potentiation,67,0,1,1,
Synaptic vesicle cycle,78,0,1,1,
Neurotrophin signaling pathway,119,0,1,1,
Olfactory transduction,407,0,1,1,
Inflammatory mediator regulation of TRP channels,98,0,1,1,
Motor proteins,194,0,1,1,
Insulin signaling pathway,139,0,1,1,
Insulin secretion,86,0,1,1,
GnRH signaling pathway,93,0,1,1,
Ovarian steroidogenesis,52,0,1,1,
Prolactin signaling pathway,70,0,1,1,
Thyroid hormone synthesis,75,0,1,1,
Adipocytokine signaling pathway,70,0,1,1,
Glucagon signaling pathway,105,0,1,1,
Aldosterone synthesis and secretion,98,0,1,1,
Cortisol synthesis and secretion,65,0,1,1,
GnRH secretion,64,0,1,1,
Type II diabetes mellitus,46,0,1,1,
Insulin resistance,108,0,1,1,
Non-alcoholic fatty liver disease,151,0,1,1,
AGE-RAGE signaling pathway in diabetic complications,100,0,1,1,
Alcoholic liver disease,143,0,1,1,
Type I diabetes mellitus,42,0,1,1,
Endocrine and other factor-regulated calcium reabsorption,53,0,1,1,
Vasopressin-regulated water reabsorption,44,0,1,1,
Salivary secretion,93,0,1,1,PRH1
Pancreatic secretion,101,0,1,1,
Bile secretion,89,0,1,1,
Mineral absorption,60,0,1,1,
Cholesterol metabolism,52,0,1,1,
Prion disease,259,0,1,1,
Amphetamine addiction,69,0,1,1,
Nicotine addiction,41,0,1,1,
Bacterial invasion of epithelial cells,77,0,1,1,
Vibrio cholerae infection,50,0,1,1,
Epithelial cell signaling in Helicobacter pylori infection,70,0,1,1,
Pathogenic Escherichia coli infection,198,0,1,1,
Legionellosis,56,0,1,1,
Leishmaniasis,75,0,1,1,
Malaria,50,0,1,1,
Amoebiasis,100,0,1,1,
