Description,N,DE,P.DE,FDR,SigGenesInSet
Regulation of actin cytoskeleton,230,3,0.390892708814087,1,"APC2,NCKAP1L,LPAR2"
Diabetic cardiomyopathy,189,2,0.39249248603588716,1,"PRKCA,SLC25A31"
Dopaminergic synapse,131,2,0.39797964898523014,1,"PRKCA,CACNA1D"
Neuroactive ligand-receptor interaction,367,3,0.400030662757748,1,"MLN,LYNX1,LPAR2"
Type II diabetes mellitus,46,1,0.4006451339592505,1,CACNA1D
Leishmaniasis,75,1,0.4112217737795479,1,JAK1
mTOR signaling pathway,155,2,0.4127613179807329,1,"PRKCA,RPS6KA2"
Metabolic pathways,1558,12,0.4156534828707319,1,"CHKB,NMRK2,HEXD,DHRS4L2,CHSY3,ENPP7,MGAT5,PDE4B,SCLY,ST6GALNAC1,GALNT16,FKRP,MTMR3"
Antigen processing and presentation,71,1,0.41619402989951937,1,CTSS
Cellular senescence,155,2,0.42122665336964826,1,"CACNA1D,SLC25A31"
Platinum drug resistance,74,1,0.4258983655896073,1,"BAD,CASP9"
Endocrine and other factor-regulated calcium reabsorption,53,1,0.4324823221926383,1,PRKCA
p53 signaling pathway,75,1,0.4594748107238752,1,CASP9
Hepatocellular carcinoma,169,2,0.4655665018153345,1,"APC2,PRKCA,BAD"
Hematopoietic cell lineage,93,1,0.4719500191455291,1,"CD3D,CD3G"
Long-term depression,60,1,0.4744138384974777,1,PRKCA
Fc epsilon RI signaling pathway,67,1,0.47842959938726265,1,PRKCA
Renal cell carcinoma,68,1,0.4824937552601052,1,"BAD,TFE3"
Phospholipase D signaling pathway,147,2,0.4828293331512766,1,"PRKCA,LPAR2"
Kaposi sarcoma-associated herpesvirus infection,194,2,0.48513457755891487,1,"JAK1,CASP9"
Viral carcinogenesis,193,2,0.48637042872363234,1,"JAK1,BAD,MAD1L1"
Toll-like receptor signaling pathway,108,1,0.4955807519005674,1,JAK1
Lipid and atherosclerosis,215,2,0.4969871739704582,1,"PRKCA,BAD,CASP9"
Hormone signaling,217,2,0.49856215573494145,1,"AMHR2,MLN"
Motor proteins,194,2,0.5004774521136861,1,"DNAH10,MYO10"
Central carbon metabolism in cancer,70,1,0.5041040103178378,1,PDK1
Parkinson disease,253,2,0.5085477607353571,1,"SLC25A31,CASP9"
Thyroid hormone synthesis,75,1,0.5146738150276358,1,PRKCA
Inositol phosphate metabolism,78,1,0.5196534667364777,1,MTMR3
Mitophagy - animal,102,1,0.5311992234827805,1,TFE3
Phagocytosis,251,2,0.5449549060760113,1,"ATG4A,CTSS,UVRAG"
Glioma,75,1,0.5505260758524821,1,PRKCA
Salivary secretion,93,1,0.5508125602035995,1,PRKCA
Gastric acid secretion,76,1,0.5527902896535775,1,PRKCA
Lysosome biogenesis,248,2,0.5540738372624985,1,"CTSS,TFE3"
Chagas disease,102,1,0.5636503596041845,1,"CD3D,CD3G"
Pancreatic secretion,101,1,0.5760415183913641,1,PRKCA
TGF-beta signaling pathway,110,1,0.5980882480845667,1,AMHR2
Small cell lung cancer,92,1,0.5985531752840301,1,CASP9
Gap junction,89,1,0.5990358805948495,1,PRKCA
Protein digestion and absorption,102,1,0.6002933058854647,1,COL23A1
Amoebiasis,100,1,0.6012570232383375,1,PRKCA
AGE-RAGE signaling pathway in diabetic complications,100,1,0.6063166871525469,1,PRKCA
Natural killer cell mediated cytotoxicity,125,1,0.6174062530383515,1,PRKCA
ErbB signaling pathway,84,1,0.6174064636433217,1,"PRKCA,BAD"
Leukocyte transendothelial migration,114,1,0.6243961872571182,1,PRKCA
Melanogenesis,101,1,0.6303164164679738,1,PRKCA
Insulin resistance,108,1,0.6326972942879581,1,RPS6KA2
Choline metabolism in cancer,98,1,0.6367072625306212,1,"CHKB,PRKCA"
Inflammatory mediator regulation of TRP channels,98,1,0.6505407692192613,1,PRKCA
Non-alcoholic fatty liver disease,151,1,0.6526848640280736,1,BCL2L11
Prostate cancer,105,1,0.6567717081758175,1,"BAD,CASP9"
Cadherin signaling,403,3,0.6653414482017578,1,"APC2,NCKAP1L,CELSR1"
Purine metabolism,127,1,0.666667848967972,1,PDE4B
Ras signaling pathway,235,2,0.668653020769894,1,"RASGRP3,PRKCA,BAD"
JAK-STAT signaling pathway,163,1,0.6740462640067815,1,JAK1
Cytoskeleton in muscle cells,233,2,0.6767257304640103,1,"PDLIM5,DMD"
FoxO signaling pathway,132,1,0.6803319943689028,1,BCL2L11
T cell receptor signaling pathway,118,1,0.6816029463047703,1,"CD3D,CD3G"
Amyotrophic lateral sclerosis,352,2,0.6888826424833765,1,"DNAH10,BAD,CASP9"
Neurotrophin signaling pathway,119,1,0.6893659875656797,1,"BAD,RPS6KA2"
Sphingolipid signaling pathway,123,1,0.6911724291991295,1,PRKCA
NOD-like receptor signaling pathway,184,1,0.6938038984421904,1,JAK1
Relaxin signaling pathway,129,1,0.7163127591016103,1,PRKCA
Yersinia infection,135,1,0.7194383683617738,1,RPS6KA2
Cornified envelope formation,213,1,0.7230619899360069,1,SPRR2F
Estrogen signaling pathway,137,1,0.7258346672871551,1,NCOA2
Breast cancer,147,1,0.746346362032045,1,APC2
Gastric cancer,149,1,0.7587370080832785,1,APC2
Chemical carcinogenesis - reactive oxygen species,211,1,0.7591148466406505,1,"BAD,SLC25A31"
Tight junction,171,1,0.7801865013157891,1,CACNA1D
Cytokine-cytokine receptor interaction,293,1,0.7825677617984788,1,AMHR2
Thermogenesis,219,1,0.7993677326741426,1,RPS6KA2
Human papillomavirus infection,330,2,0.818255060848973,1,"APC2,JAK1,BAD"
Neuroactive ligand signaling,199,1,0.8310872482570647,1,PRKCA
Salmonella infection,247,1,0.8509512703778946,1,NCKAP1L
Proteoglycans in cancer,202,1,0.8644599515737037,1,PRKCA
Shigellosis,244,1,0.8715915131211243,1,FNBP1
Axon guidance,181,1,0.8815147796276297,1,PRKCA
Focal adhesion,201,1,0.8936549235025661,1,"PRKCA,BAD"
Endocytosis,249,1,0.901513698184413,1,PML
IgSF CAM signaling,296,1,0.9611739020446584,1,PRKCA
Folate biosynthesis,28,0,0.9999999999999971,1,
Phenylalanine metabolism,16,0,0.9999999999999977,1,
"Phenylalanine, tyrosine and tryptophan biosynthesis",6,0,0.9999999999999979,1,
"Neomycin, kanamycin and gentamicin biosynthesis",5,0,0.9999999999999981,1,
Vitamin B6 metabolism,6,0,0.9999999999999982,1,
Biosynthesis of various nucleotide sugars,19,0,0.9999999999999983,1,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,30,0,0.9999999999999984,1,
RNA polymerase,34,0,0.9999999999999987,1,
Arginine biosynthesis,23,0,0.9999999999999989,1,
Taurine and hypotaurine metabolism,16,0,0.9999999999999991,1,
Glycosphingolipid biosynthesis - globo and isoglobo series,16,0,0.9999999999999992,1,
2-Oxocarboxylic acid metabolism,33,0,0.9999999999999992,1,
Collecting duct acid secretion,27,0,0.9999999999999992,1,
Caffeine metabolism,6,0,0.9999999999999994,1,
Propanoate metabolism,32,0,0.9999999999999994,1,
Virion - Herpesvirus,8,0,0.9999999999999994,1,
Asthma,29,0,0.9999999999999994,1,
Citrate cycle (TCA cycle),30,0,0.9999999999999996,1,
Glycosphingolipid biosynthesis - lacto and neolacto series,28,0,0.9999999999999996,1,
"Virion - Ebolavirus, Lyssavirus and Morbillivirus",12,0,0.9999999999999996,1,
SNARE interactions in vesicular transport,32,0,0.9999999999999996,1,
Biotin metabolism,3,0,0.9999999999999997,1,
Thiamine metabolism,15,0,0.9999999999999998,1,
Terpenoid backbone biosynthesis,24,0,0.9999999999999998,1,
C5-Branched dibasic acid metabolism,2,0,0.9999999999999999,1,
Glycolysis / Gluconeogenesis,67,0,1,1,
Pentose and glucuronate interconversions,37,0,1,1,
Fructose and mannose metabolism,36,0,1,1,
Ascorbate and aldarate metabolism,31,0,1,1,
Fatty acid elongation,28,0,1,1,
Fatty acid degradation,43,0,1,1,
Steroid hormone biosynthesis,65,0,1,1,
Oxidative phosphorylation,122,0,1,1,
Pyrimidine metabolism,57,0,1,1,
"Alanine, aspartate and glutamate metabolism",37,0,1,1,
"Glycine, serine and threonine metabolism",39,0,1,1,
Cysteine and methionine metabolism,52,0,1,1,
"Valine, leucine and isoleucine degradation",48,0,1,1,
Lysine degradation,63,0,1,1,
Arginine and proline metabolism,50,0,1,1,
Tyrosine metabolism,36,0,1,1,
Tryptophan metabolism,41,0,1,1,
Phosphonate and phosphinate metabolism,6,0,1,1,
D-Amino acid metabolism,6,0,1,1,
Glutathione metabolism,58,0,1,1,
Starch and sucrose metabolism,35,0,1,1,
Various types of N-glycan biosynthesis,44,0,1,1,HEXD
Amino sugar and nucleotide sugar metabolism,38,0,1,1,
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,24,0,1,1,
Glycerolipid metabolism,64,0,1,1,
Glycerophospholipid metabolism,102,0,1,1,CHKB
Ether lipid metabolism,51,0,1,1,
Arachidonic acid metabolism,62,0,1,1,
alpha-Linolenic acid metabolism,26,0,1,1,
Pyruvate metabolism,49,0,1,1,
One carbon pool by folate,37,0,1,1,
Riboflavin metabolism,8,0,1,1,
Porphyrin metabolism,46,0,1,1,
