Description,N,DE,P.DE,FDR,SigGenesInSet
Neuroactive ligand signaling,199,2,0.5230963971117171,1,"PLCB1,GABRA6,HTR2C"
Pathways in cancer,530,5,0.523667391915771,1,"LPAR6,EGF,PLCB1,SMAD2,SMAD4,RB1"
Wnt signaling pathway,177,2,0.5303453595727943,1,"PLCB1,SMAD4"
Chronic myeloid leukemia,76,1,0.5340034785541475,1,"SMAD4,RB1"
Alzheimer disease,372,3,0.5355382657518862,1,"PLCB1,ATG2B,PSMA1"
Glioma,75,1,0.5390736520968804,1,"EGF,RB1"
Salivary secretion,93,1,0.5410003081641481,1,PLCB1
Non-small cell lung cancer,72,1,0.5434897879071756,1,"EGF,RB1"
Bacterial invasion of epithelial cells,77,1,0.5439238470080465,1,CAV1
Gastric acid secretion,76,1,0.5450406707221401,1,PLCB1
PD-L1 expression and PD-1 checkpoint pathway in cancer,89,1,0.5450499497135934,1,EGF
Pancreatic secretion,101,1,0.5620990957416108,1,PLCB1
Lysosome biogenesis,248,2,0.5706774310366571,1,"DMXL1,HEXB"
Salmonella infection,247,2,0.5792287041841033,1,"EXOC5,AHNAK"
EGFR tyrosine kinase inhibitor resistance,78,1,0.5862157385361919,1,EGF
Amoebiasis,100,1,0.5886495950661487,1,PLCB1
Longevity regulating pathway,89,1,0.5923032687625491,1,CREB1
Human papillomavirus infection,330,3,0.5927822822656207,1,"CREB1,EGF,RB1,MAGI1"
Human cytomegalovirus infection,226,2,0.5955519221162422,1,"CREB1,PLCB1,RB1"
GnRH signaling pathway,93,1,0.6005522686491278,1,PLCB1
ErbB signaling pathway,84,1,0.606349158810368,1,EGF
TNF signaling pathway,118,1,0.6170401492799913,1,CREB1
Phosphatidylinositol signaling system,97,1,0.6173922206313465,1,PLCB1
Adherens junction,93,1,0.6224737185451434,1,SMAD4
Insulin resistance,108,1,0.6266062967134283,1,CREB1
PI3K-Akt signaling pathway,357,3,0.6278154228465472,1,"LPAR6,CREB1,EGF,MAGI1"
Serotonergic synapse,113,1,0.629612497494074,1,"PLCB1,HTR2C"
Biosynthesis of cofactors,154,1,0.6320433441790011,1,GPHN
HIF-1 signaling pathway,109,1,0.6335293557809527,1,EGF
Morphine addiction,91,1,0.6337112458615071,1,GABRA6
Choline metabolism in cancer,98,1,0.6342988196981985,1,EGF
Focal adhesion,201,2,0.6385675182691828,1,"EGF,CAV1"
Inflammatory mediator regulation of TRP channels,98,1,0.6417607594633619,1,"PLCB1,HTR2C"
Purine metabolism,127,1,0.6626102051265417,1,PAPSS2
Fluid shear stress and atherosclerosis,141,1,0.6682333410038985,1,CAV1
Neutrophil extracellular trap formation,175,1,0.678969524960038,1,PLCB1
Osteoclast differentiation,134,1,0.6808787943068136,1,CREB1
Sphingolipid signaling pathway,123,1,0.6883674413401091,1,PLCB1
Hepatitis C,155,1,0.6977319077437079,1,"EGF,RB1"
Platelet activation,125,1,0.7028747393044537,1,PLCB1
Vascular smooth muscle contraction,134,1,0.7032174098065486,1,PLCB1
Pathways of neurodegeneration - multiple diseases,464,3,0.7034324819934328,1,"PLCB1,ATG2B,PSMA1"
Protein processing in endoplasmic reticulum,171,1,0.706571545932011,1,ERO1B
NOD-like receptor signaling pathway,184,1,0.7077121084524274,1,PLCB1
Cornified envelope formation,213,1,0.7158829823462325,1,DST
Insulin signaling pathway,139,1,0.7226694772804172,1,C2CD5
Glutamatergic synapse,116,1,0.7227564917009657,1,PLCB1
Tuberculosis,178,1,0.7340948443945361,1,CREB1
Breast cancer,147,1,0.7453336398760665,1,"EGF,RB1"
Cell adhesion molecule (CAM) interaction,155,1,0.7521085880646401,1,"CNTNAP2,NRXN1"
mTOR signaling pathway,155,1,0.7563055721541543,1,CAB39L
Cellular senescence,155,1,0.7613641371838745,1,"SMAD2,RB1"
Chemical carcinogenesis - reactive oxygen species,211,1,0.7652184158746684,1,EGF
Efferocytosis,155,1,0.7673973957655964,1,CREB1
Oxytocin signaling pathway,154,1,0.7944223478396992,1,PLCB1
Thermogenesis,219,1,0.7946571366288242,1,CREB1
Chemokine signaling pathway,192,1,0.7992189246004314,1,PLCB1
Pathogenic Escherichia coli infection,198,1,0.800950310626678,1,MYO1E
Viral carcinogenesis,193,1,0.8038823996221687,1,"CREB1,RB1"
Kaposi sarcoma-associated herpesvirus infection,194,1,0.8039237630382818,1,"CREB1,RB1"
Integrin signaling,153,1,0.8108469619108913,1,EGF
Lipid and atherosclerosis,215,1,0.814419028891362,1,PLCB1
Parkinson disease,253,1,0.8226497272262754,1,PSMA1
Cadherin signaling,403,2,0.8515822226372776,1,"GABRA6,MYO1E"
Shigellosis,244,1,0.8708449795450728,1,PLCB1
Axon guidance,181,1,0.8717102343826593,1,SEMA6A
cAMP signaling pathway,225,1,0.8731552957133113,1,"CREB1,PLN"
Regulation of actin cytoskeleton,230,1,0.8925794885553574,1,EGF
Ras signaling pathway,235,1,0.8955235073947871,1,EGF
MAPK signaling pathway,299,1,0.9462084123152228,1,EGF
"Phenylalanine, tyrosine and tryptophan biosynthesis",6,0,0.9999999999999963,1,
Fatty acid biosynthesis,17,0,0.9999999999999986,1,
"Neomycin, kanamycin and gentamicin biosynthesis",5,0,0.9999999999999986,1,
Vitamin B6 metabolism,6,0,0.9999999999999986,1,
Glyoxylate and dicarboxylate metabolism,31,0,0.9999999999999987,1,
Lipoic acid metabolism,19,0,0.9999999999999988,1,
Caffeine metabolism,6,0,0.9999999999999989,1,
Pantothenate and CoA biosynthesis,21,0,0.9999999999999989,1,
Propanoate metabolism,32,0,0.999999999999999,1,
Virion - Herpesvirus,8,0,0.999999999999999,1,
Butanoate metabolism,27,0,0.9999999999999994,1,
"Valine, leucine and isoleucine biosynthesis",4,0,0.9999999999999996,1,
Terpenoid backbone biosynthesis,24,0,0.9999999999999996,1,
Histidine metabolism,22,0,0.9999999999999997,1,
Riboflavin metabolism,8,0,0.9999999999999997,1,
Nitrogen metabolism,17,0,0.9999999999999997,1,
Virion - Rotavirus,2,0,0.9999999999999997,1,
SNARE interactions in vesicular transport,32,0,0.9999999999999997,1,
Citrate cycle (TCA cycle),30,0,0.9999999999999998,1,
