ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
BP,positive regulation of high-density lipoprotein particle clearance,7,1,0.022696523184167258,1,TREM2
BP,bud outgrowth involved in lung branching,3,1,0.022857647268209443,1,TNC
BP,regulation of engulfment of apoptotic cell,3,1,0.023385966547790384,1,TREM2
BP,tissue regeneration,74,3,0.023475693955688336,1,"NINJ2,TM4SF4,FKRP"
BP,membrane invagination,64,3,0.023479153867235914,1,"RAB31,TREM2,MARCO"
BP,regulation of syncytium formation by plasma membrane fusion,30,2,0.02356076129787178,1,"EHD1,TREM2"
BP,positive regulation of anaphase-promoting complex-dependent catabolic process,3,1,0.023662402039426385,1,FZR1
BP,syncytium formation,65,3,0.024323758426679717,1,"EHD1,TREM2,SH3PXD2A"
MF,histone H3K14 deacetylase activity,2,1,0.024356790377803573,1,HDAC9
MF,lactate:proton symporter activity,2,1,0.02440384699472186,1,SLC16A3
MF,very-low-density lipoprotein particle binding,4,1,0.024754830538197797,1,TREM2
BP,alkaloid metabolic process,7,1,0.024807048947703487,1,NNMT
MF,interferon receptor activity,5,1,0.024813097754635794,1,IFNAR2
MF,12-hydroxyheptadecatrienoic acid synthase activity,3,1,0.0248237131130168,1,TBXAS1
BP,positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel,3,1,0.024830763487327014,1,CACNB2
MF,cyclin-dependent protein serine/threonine kinase activity,29,2,0.02488752112011222,1,"MOK,CDK11A,CDK11B"
MF,cyclin-dependent protein kinase activity,29,2,0.02488752112011222,1,"MOK,CDK11A,CDK11B"
BP,terminal web assembly,3,1,0.025114556062875652,1,VIL1
BP,regulation of memory T cell activation,2,1,0.025198336927219914,1,HLA-A
BP,positive regulation of memory T cell activation,2,1,0.025198336927219914,1,HLA-A
MF,interleukin-1 receptor antagonist activity,3,1,0.025241478237211658,1,PXDN
CC,ciliary pocket,3,1,0.025308706341413887,1,EHD1
CC,ciliary pocket membrane,3,1,0.025308706341413887,1,EHD1
BP,complement-mediated synapse pruning,4,1,0.025453878019437184,1,TREM2
MF,JAK pathway signal transduction adaptor activity,3,1,0.02547867937273683,1,IFNAR2
BP,regulation of alpha-beta T cell differentiation,74,3,0.025494199906082465,1,"HLX,ITPKB,PRDM1"
BP,response to prostaglandin D,5,1,0.025530854921995617,1,TNC
BP,cellular response to prostaglandin D stimulus,5,1,0.025530854921995617,1,TNC
BP,regulation of CAMKK-AMPK signaling cascade,3,1,0.025605973556858872,1,TREM2
CC,procentriole,3,1,0.025711045364040175,1,CEP152
BP,negative regulation of astrocyte activation,5,1,0.02576264455981076,1,TREM2
BP,negative regulation of rRNA processing,3,1,0.026165253132794965,1,SHQ1
BP,cellular response to glucose stimulus,135,4,0.02642001389806458,1,"EFNA5,STXBP4,TREM2,PTPRN2,BRSK2"
MF,G-protein gamma-subunit binding,2,1,0.02658257290846559,1,CCDC88A
BP,regulation of hippocampal neuron apoptotic process,5,1,0.026734595640020797,1,TREM2
BP,positive regulation of low-density lipoprotein particle clearance,3,1,0.02675524412423021,1,TREM2
BP,negative regulation of inflammatory response to antigenic stimulus,33,2,0.02681558732992885,1,"HCK,TREM2"
BP,regulation of response to macrophage colony-stimulating factor,6,1,0.026899017110103094,1,TREM2
BP,regulation of cellular response to macrophage colony-stimulating factor stimulus,6,1,0.026899017110103094,1,TREM2
BP,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent",2,1,0.026987280500917078,1,HLA-A
BP,de novo centriole assembly involved in multi-ciliated epithelial cell differentiation,5,1,0.027126293184615725,1,CEP152
MF,sulfatide binding,6,1,0.027217892131472167,1,TREM2
CC,"retromer, tubulation complex",4,1,0.027329777600449107,1,SNX6
BP,barbed-end actin filament capping,25,2,0.027384455862153302,1,"VIL1,SCIN"
MF,lipoteichoic acid binding,5,1,0.027405545986031506,1,TREM2
BP,pyruvate catabolic process,3,1,0.027494855779680832,1,SLC16A3
MF,histone H3K9 deacetylase activity,3,1,0.027525553169625194,1,HDAC9
CC,integrin alphaL-beta2 complex,2,1,0.027677963525415038,1,ITGAL
BP,protein secretion,365,7,0.0277284025048781,1,"EFNA5,STXBP4,TREM2,PTPRN2,SAA1,AACS,CAMK2G,BRSK2"
BP,cellular response to hexose stimulus,137,4,0.02774094150634515,1,"EFNA5,STXBP4,TREM2,PTPRN2,BRSK2"
BP,establishment of protein localization to extracellular region,366,7,0.02783673789748207,1,"EFNA5,STXBP4,TREM2,PTPRN2,SAA1,AACS,CAMK2G,BRSK2"
BP,positive regulation of proteolysis involved in protein catabolic process,139,4,0.02788036361319529,1,"ARIH2,FBXW8,FZR1,TREM2"
BP,positive regulation of supramolecular fiber organization,175,5,0.0280024592939314,1,"HCK,CCDC88A,VIL1,NCK2,SCIN"
CC,tubular endosome,5,1,0.028385568307050704,1,SNX6
BP,extrathymic T cell differentiation,3,1,0.028392030342525573,1,PRDM1
BP,regulation of antigen processing and presentation of peptide antigen via MHC class II,4,1,0.028438450719345938,1,TREM2
BP,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,80,3,0.02846265913624741,1,"CHRM1,GRM4,MARCO"
BP,regulation of myeloid cell apoptotic process,32,2,0.02908776744334477,1,"ITPKB,THRA"
BP,positive regulation of cytoskeleton organization,184,5,0.02917548192511406,1,"HCK,CCDC88A,VIL1,NCK2,SCIN"
BP,synaptic membrane adhesion,27,2,0.02922134854065504,1,"EFNA5,SPARCL1"
CC,deuterosome,6,1,0.02940912154273137,1,CEP152
BP,maintenance of protein location in membrane,2,1,0.029414664344441305,1,CCDC88A
BP,maintenance of protein location in plasma membrane,2,1,0.029414664344441305,1,CCDC88A
BP,cellular response to monosaccharide stimulus,139,4,0.029545875273403223,1,"EFNA5,STXBP4,TREM2,PTPRN2,BRSK2"
BP,cellular response to peptidoglycan,6,1,0.029607179613035953,1,TREM2
BP,regulation of aggrephagy,3,1,0.029693698318074026,1,BAG3
BP,positive regulation of aggrephagy,3,1,0.029693698318074026,1,BAG3
BP,positive regulation of microglial cell migration,7,1,0.029785859308088646,1,TREM2
BP,ERBB signaling pathway,124,4,0.029846462649212212,1,"CCDC88A,SNX6,VIL1,NCK2"
BP,female courtship behavior,2,1,0.030019266409982558,1,THRA
BP,CXCL12-activated CXCR4 signaling pathway,4,1,0.030230791585117444,1,TREM2
MF,ICAM-3 receptor activity,3,1,0.03025965288558245,1,ITGAL
MF,TAP complex binding,3,1,0.030348586944851614,1,HLA-A
BP,mitotic DNA damage checkpoint signaling,83,3,0.03044351715490449,1,"FZR1,NEK11,BABAM2"
CC,ubiquitin ligase complex,312,6,0.030462266095872617,1,"ARIH2,FBXL21P,FBXW8,FZR1,DCUN1D2,BABAM2"
BP,localization of cell,3,1,0.03053901266085998,1,FKRP
MF,histone H4K16 deacetylase activity,3,1,0.030551619439214653,1,HDAC9
MF,histone H4K deacetylase activity,3,1,0.030551619439214653,1,HDAC9
CC,Cul7-RING ubiquitin ligase complex,4,1,0.030661094070872752,1,FBXW8
CC,early phagosome membrane,2,1,0.03095801857898431,1,RAB31
BP,integrated stress response signaling,42,2,0.031030675059772563,1,"BATF2,NCK2"
MF,"inositol-1,4,5-trisphosphate 3-kinase activity",4,1,0.031069180231226498,1,ITPKB
MF,"phosphatidylinositol-3,4-bisphosphate binding",29,2,0.031070205033946228,1,"PLEKHA1,SH3PXD2A"
BP,"positive regulation of CD8-positive, alpha-beta T cell proliferation",4,1,0.03107322273901184,1,HLA-A
BP,protein localization to extracellular region,374,7,0.03122933251972758,1,"EFNA5,STXBP4,TREM2,PTPRN2,SAA1,AACS,CAMK2G,BRSK2"
BP,positive regulation of protein localization to cell periphery,73,3,0.03140562027106364,1,"TREM2,PRKCH,VIL1"
MF,histone H3K deacetylase activity,4,1,0.031657671913984504,1,HDAC9
BP,insulin secretion,199,5,0.03181169801694847,1,"EFNA5,STXBP4,PTPRN2,AACS,CAMK2G,BRSK2"
BP,intestinal D-glucose absorption,4,1,0.0319136420336448,1,VIL1
BP,specification of animal organ position,3,1,0.032056667492383666,1,HOXA3
BP,positive regulation of T-helper 1 cell differentiation,6,1,0.03221837153091168,1,HLX
BP,detection of biotic stimulus,38,2,0.032241550613518626,1,"HLA-A,TREM2"
BP,de novo centriole assembly,6,1,0.03232134313001339,1,CEP152
BP,mitotic DNA integrity checkpoint signaling,87,3,0.03251531743401438,1,"FZR1,NEK11,BABAM2"
BP,regulation of high-density lipoprotein particle clearance,11,1,0.03264820172160073,1,TREM2
BP,regulation of plasma membrane bounded cell projection organization,651,12,0.03274422633970951,1,"EHD1,EFNA5,KIF13B,FBXW8,TREM2,DEF8,CCDC88A,VIL1,CAMK2G,KREMEN1,STK24,BRSK2"
BP,regulation of transcription from RNA polymerase II promoter in response to stress,33,2,0.03276830809280057,1,"NCK2,BAG3"
BP,leukocyte migration involved in immune response,3,1,0.032813345495019526,1,HCK
BP,microglial cell migration,8,1,0.03283482042714787,1,TREM2
BP,regulation of microglial cell migration,8,1,0.03283482042714787,1,TREM2
MF,dimethylargininase activity,2,1,0.032864870446705746,1,DDAH2
MF,CD8 receptor binding,3,1,0.03324235994461918,1,HLA-A
MF,N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity,4,1,0.03404685454006906,1,CHSY3
MF,ubiquitin conjugating enzyme binding,31,2,0.03407039700633009,1,"ARIH2,DCUN1D2"
BP,regulation of anaphase-promoting complex-dependent catabolic process,5,1,0.034374722690529436,1,FZR1
BP,negative regulation of protein depolymerization,70,3,0.03487222628019895,1,"PLEKHH2,VIL1,SCIN"
BP,oxygen metabolic process,6,1,0.03495757836433239,1,FMO2
MF,creatine transmembrane transporter activity,4,1,0.03502598265572055,1,SLC6A8
BP,creatine transmembrane transport,4,1,0.03502598265572055,1,SLC6A8
BP,positive regulation of ion transmembrane transporter activity,85,3,0.03509193097040767,1,"FXYD2,TREM2,CACNB2"
BP,cytoplasmic actin-based contraction involved in cell motility,3,1,0.035166395737906635,1,VIL1
BP,regulation of antigen processing and presentation of peptide antigen,6,1,0.035185198375956975,1,TREM2
BP,intracellular protein transport,864,12,0.03563939700344619,1,"ARIH2,EHD1,RAB31,CHRM1,AP1S3,E2F3,KIF13B,STXBP4,VPS13D,VPS53,SNX6,BRSK2,BAG3"
CC,matrix side of mitochondrial inner membrane,6,1,0.035668807751094066,1,NDUFAF5
BP,myeloid cell apoptotic process,39,2,0.035708714170008815,1,"ITPKB,THRA"
BP,hippocampal neuron apoptotic process,7,1,0.03630304783846446,1,TREM2
BP,"regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator",6,1,0.036367155423547196,1,COPS3
BP,regulation of axon regeneration,30,2,0.0365626013282776,1,"KREMEN1,STK24"
BP,positive regulation of potassium ion transmembrane transport,37,2,0.03665209272683835,1,"FXYD2,TREM2"
BP,maintenance of protein location,92,3,0.03676489000304464,1,"VPS13D,CCDC88A,SCIN"
BP,sebum secreting cell proliferation,3,1,0.03685603222245869,1,PRDM1
BP,regulation of autophagic cell death,4,1,0.03685896365981027,1,TREM2
BP,regulation of cell projection organization,667,12,0.03687468333451714,1,"EHD1,EFNA5,KIF13B,FBXW8,TREM2,DEF8,CCDC88A,VIL1,CAMK2G,KREMEN1,STK24,BRSK2"
BP,positive regulation of complement activation,7,1,0.03708552922730806,1,TREM2
BP,detection of lipopolysaccharide,5,1,0.03721985743853017,1,TREM2
MF,translation initiation factor activity,50,2,0.037328756180570105,1,"EIF4A2,MTIF3"
BP,regulation of phagocytosis,99,3,0.037389890523685305,1,"RAB31,HCK,TREM2"
MF,AF-2 domain binding,3,1,0.0382425736772761,1,ESRRG
BP,regulation of inward rectifier potassium channel activity,7,1,0.038275873763840805,1,TREM2
CC,BRISC complex,6,1,0.0384806133323508,1,BABAM2
BP,NADPH oxidation,5,1,0.03849341998819744,1,FMO2
CC,centriole,156,4,0.038557470464136906,1,"CEP152,FBXW8,CCDC88A,NEURL4"
BP,macrophage fusion,6,1,0.03865492493016702,1,TREM2
MF,"phosphatidylinositol-4,5-bisphosphate binding",83,3,0.038998630924318996,1,"VIL1,SCIN,SH3PXD2A"
BP,establishment of protein localization,1679,20,0.03909171722704176,1,"ARIH2,EHD1,RAB31,CHRM1,AP1S3,E2F3,EFNA5,KIF13B,STXBP4,GORASP2,TREM2,VPS13D,VPS53,PTPRN2,SNX6,PLEKHA1,SAA1,AACS,CAMK2G,BRSK2,BAG3"
BP,courtship behavior,3,1,0.03943057537493937,1,THRA
BP,cellular response to carbohydrate stimulus,150,4,0.03952414753967341,1,"EFNA5,STXBP4,TREM2,PTPRN2,BRSK2"
BP,negative regulation of protein-containing complex assembly,145,4,0.03985619260752471,1,"TREM2,THRA,VIL1,SCIN"
BP,microtubule cytoskeleton organization involved in establishment of planar polarity,3,1,0.03986889944935175,1,BRSK2
BP,regulation of neuron projection regeneration,32,2,0.040780631467580056,1,"KREMEN1,STK24"
BP,translational initiation,122,3,0.040803527526153134,1,"EIF4A2,MTIF3,NCK2"
BP,plasma lipoprotein particle clearance,55,2,0.04110326243078201,1,"EHD1,TREM2"
BP,mitotic G2 DNA damage checkpoint signaling,37,2,0.04122507121081924,1,"FZR1,BABAM2"
MF,apolipoprotein A-I binding,5,1,0.04127444123666973,1,TREM2
MF,lactoperoxidase activity,4,1,0.041475939408347436,1,PXDN
CC,ASAP complex,4,1,0.041569641894122183,1,RNPS1
CC,integrin complex,31,2,0.04163213187024347,1,"ITGAE,ITGAL"
BP,memory T cell activation,4,1,0.04177038842217128,1,HLA-A
BP,macrophage inflammatory protein-1 alpha production,6,1,0.04205240329115022,1,TREM2
BP,regulation of macrophage inflammatory protein 1 alpha production,6,1,0.04205240329115022,1,TREM2
BP,regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,5,1,0.04213401160099275,1,TREM2
CC,nuclear ubiquitin ligase complex,44,2,0.0421444648048187,1,"FZR1,BABAM2"
BP,amyloid-beta clearance,39,2,0.04223320219256117,1,"TREM2,MARCO"
BP,cranial nerve morphogenesis,30,2,0.04227124380210952,1,"HOXA3,HOXB3"
CC,lumenal side of membrane,36,2,0.04229391090030917,1,"HLA-A,NDUFAF5"
BP,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,93,3,0.042375974272693934,1,"ARIH2,FBXW8,FZR1"
CC,procentriole replication complex,6,1,0.04242127813707935,1,CEP152
BP,regulation of actin cytoskeleton organization,333,7,0.042459001723254924,1,"PLEKHH2,EFNA5,HCK,CCDC88A,VIL1,NCK2,SCIN"
BP,regulation of actin filament polymerization,135,4,0.04252949738580466,1,"HCK,VIL1,NCK2,SCIN"
MF,ubiquitin-like protein conjugating enzyme binding,37,2,0.042622693975994,1,"ARIH2,DCUN1D2"
