"Description","N","DE","P.DE","FDR","SigGenesInSet","comp_id"
"Endocytosis",249,103,0.00964672880118602,0.15415017868768,"RNF103-CHMP3,ARFGEF1,STAMBP,RAB10,EHD1,RAB31,VPS26B,VPS45,ARAP2,ARAP1,AGAP2,AGAP1,AP2S1,CLTC,VPS37A,GRK2,GRK3,DAB2,AP2A2,DNM1,DNM2,EGFR,EPS15,FGFR2,RAB11FIP2,EPN2,IQSEC2,SPART,NEDD4L,PSD3,PIP5K1C,FOLR2,PSD4,DNM3,LDLRAP1,ARFGAP3,CYTH4,SNX5,BIN1,GRK4,GRK5,GRK6,GIT1,SH3KBP1,EHD4,IGF1R,IGF2R,KIF5B,KIF5C,ARF5,LDLR,ARRB1,SMAD2,SMAD3,ARRB2,IQSEC3,NEDD4,ASAP1,SH3GLB1,VPS28,VTA1,PML,EPN3,VPS37C,ASAP3,PRKCI,PRKCZ,PARD3,SMURF1,EPS15L1,RAB5B,RBSN,WIPF3,SH3GL1,SMAP2,SNX1,SNX2,SRC,TGFBR1,TGFBR2,TRAF6,TSG101,WIPF1,RAB7A,VPS37B,RAB11FIP1,STAM,CLTCL1,CAPZB,ITCH,PIP5K1B,EEA1,VPS25,RAB11FIP4,CAV1,GBF1,ASAP2,MVB12B,USP8,CYTH1,RAB11FIP3,GIT2,DNAJC6,IQSEC1","Sputum_Mixed granulocytic"
"Yersinia infection",135,59,0.0105158781591924,0.15415017868768,"AKT3,WASF2,VAV3,TAB1,BAIAP2,NLRP3,CHUK,MAPK14,DOCK1,AKT1,AKT2,PTK2B,TAB2,PIP5K1C,FOS,FYB1,LAT,GNAQ,TBK1,GSK3B,IL10,ITGA5,ITGB1,RHOG,LCK,LCP2,LIMK1,MEFV,NFATC1,NFATC3,NFKB1,PIK3CB,PIK3R1,PLCG1,MAPK1,MAPK8,MAPK10,MAPK13,MAP2K1,MAP2K2,PTK2,PXN,RAC2,RPS6KA1,RPS6KA2,MAP2K4,ARHGEF28,WIPF3,SRC,TRAF2,TRAF6,VAV2,WIPF1,CASP1,PIP5K1B,ARHGEF7,SKAP2,ARHGEF1,GIT2,ELMO1","Sputum_Mixed granulocytic"
"Valine, leucine and isoleucine degradation",48,22,0.010660880696396,0.15415017868768,"HIBADH,ABAT,EHHADH,ACSF3,ALDH9A1,ALDH3A2,HIBCH,ACAD8,HADHA,HADH,HMGCL,HMGCS1,AOX1,ACADM,ALDH6A1,MMUT,ALDH7A1,OXCT1,PCCA,AUH,MCCC1,BCAT1,BCKDHA,AACS","Sputum_Mixed granulocytic"
"Leishmaniasis",75,31,0.0110200960927072,0.15415017868768,"TAB1,MAPK14,FCGR3B,TAB2,FOS,HLA-DOB,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,IFNG,IFNGR2,IL1A,IL10,ITGAM,ITGB1,ITGB2,JAK1,NCF2,NCF4,NFKB1,PRKCB,MAPK1,MAPK13,PTGS2,TGFB1,TRAF6","Sputum_Mixed granulocytic"
"B cell receptor signaling pathway",82,37,0.0114869450340608,0.15415017868768,"AKT3,VAV3,LILRB1,MALT1,LILRB4,LILRB3,CHUK,AKT1,AKT2,FOS,GSK3B,BLNK,INPP5D,LYN,NFATC1,NFATC3,NFKB1,PIK3CB,PIK3R1,PLCG2,BANK1,PPP3CA,PPP3CC,PRKCB,MAPK1,MAP2K1,MAP2K2,RAC2,RAF1,SOS1,SYK,VAV2,LILRA6,CARD11,CD22,CD79B,CD81","Sputum_Mixed granulocytic"
"Inositol phosphate metabolism",78,37,0.0115048140321337,0.15415017868768,"IP6K3,INPP5F,SACM1L,PLCH1,PLCB1,PIP5K1C,INPP1,INPP4A,INPP5A,INPP5B,INPP5D,ITPK1,ITPKB,ALDH6A1,PLCE1,INPP5K,PIK3C2B,PIK3C2G,PIK3C3,PIK3CB,PIK3CG,PI4KA,PI4KB,PIP4K2A,PLCB2,PLCB4,PLCD1,PLCG1,PLCG2,PI4K2A,PTEN,PIP5K1B,SYNJ2,MTMR3,MTMR2,PLCZ1,MTMR7,FIG4","Sputum_Mixed granulocytic"
"Choline metabolism in cancer",98,47,0.0117258327341134,0.15415017868768,"AKT3,WASF2,CHKA,PLA2G4E,DGKG,DGKH,DGKQ,EGF,EGFR,EIF4EBP1,AKT1,AKT2,PIP5K1C,SLC44A1,FOS,MTOR,PLA2G4D,HIF1A,PCYT1A,PDGFA,PDGFB,PDPK1,PIK3CB,PIK3R1,PLA2G4A,PLCG1,PRKCA,PRKCB,MAPK1,MAPK8,MAPK10,PDGFC,MAP2K1,MAP2K2,SLC44A2,RAC2,RAF1,RALGDS,RHEB,SOS1,PDGFD,PIP5K1B,DGKZ,DGKE,DGKD,PLPP1,PLPP3","Sputum_Mixed granulocytic"
"FoxO signaling pathway",132,55,0.0120170838224266,0.15415017868768,"AKT3,BCL2L11,C8orf44-SGK3,SGK2,CDKN2B,DEPP1,CHUK,FBXO32,AGAP2,MAPK14,CSNK1E,EGF,EGFR,AKT1,AKT2,FOXO1,SGK3,G6PC1,IGF1R,IL7R,IL10,SMAD3,PCK2,PRKAG2,PDPK1,NLK,PIK3CB,PIK3R1,PRKAA2,MAPK1,MAPK8,MAPK10,MAPK13,MAP2K1,MAP2K2,PTEN,G6PC2,RAF1,RBL2,BCL6,SGK1,SKP2,SLC2A4,SOS1,BRAF,STAT3,STK4,TGFB1,TGFBR1,TGFBR2,USP7,CAT,S1PR4,TNFSF10,CCNB2,HOMER2","Sputum_Mixed granulocytic"
"Toxoplasmosis",110,48,0.0168315070612581,0.198328798828644,"AKT3,TAB1,CHUK,MAPK14,PIK3R6,AKT1,AKT2,LAMB4,TAB2,PIK3R5,ALOX5,GNAI2,GNAI3,LAMA1,HLA-DOB,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,IFNG,IFNGR2,IL10,ITGA6,ITGB1,JAK1,LAMA2,LAMA3,LAMA4,LAMB1,LAMB3,LDLR,CIITA,NFKB1,PDPK1,PIK3CG,MAPK1,MAPK8,MAPK10,MAPK13,BCL2,BCL2L1,STAT3,TGFB1,TNFRSF1A,TRAF6","Sputum_Mixed granulocytic"
"Inflammatory bowel disease",64,27,0.0168682436939833,0.198328798828644,"GATA3,HLA-DOB,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,IFNG,IFNGR2,IL1A,IL10,SMAD2,SMAD3,NFATC1,NFKB1,IL21R,RORA,RORC,NOD2,STAT3,TGFB1,TLR5,IL18RAP,IL18R1","Sputum_Mixed granulocytic"
